,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
0,1,1997,69.26997824,29.65686453,14.33653846,52.59224505,1.698717949,12.35916951,0.0,72.0,0.0,72.0,22.0,48.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,71.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,50.0,16.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,10983.27,33574.0,259319.0,7.72
1,2,1997,57.64754224,29.80279608,19.99655074,45.49515497,1.698717949,34.86208168,14.0,1449.0,6.0,1457.0,880.0,582.0,31.0,7.0,10.0,37.0,223.0,343.0,37.0,8.0,60.0,79.0,9.0,0.0,21.0,0.0,15.0,1430.0,32.0,42.0,1303.0,85.0,20.0,14.0,0.0,4.0,0.0,0.0,0.0,1103.0,360.0,648.0,246.0,196.0,18.0,12.0,408.0,0.0,0.0,0.0,570.0,81.0,0.0,177.0,0.0,0.0,0.0,305751.82,12648.0,69713.0,5.51
2,3,1997,34.947795899999996,24.86365067,9.024471125,57.55178747,7.858578164,12.40094077,25.0,2474.0,27.0,2472.0,2129.0,370.0,3.0,3.0,4.0,2.0,764.0,1259.0,14.0,12.0,11.0,29.0,6.0,0.0,9.0,0.0,13.0,2465.0,34.0,7.0,2447.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1809.0,690.0,1110.0,401.0,297.0,58.0,128.0,510.0,0.0,0.0,0.0,978.0,255.0,0.0,156.0,0.0,0.0,0.0,348274.08,1699.0,8292.0,4.88
3,4,1997,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,0.0,74.0,0.0,74.0,1.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,22.0,43.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,29.0,10.0,0.0,4.0,0.0,0.0,0.0,6040.310000000001,7439.0,114152.0,15.34
4,1,1998,78.73717949,27.80512821,18.10798051,52.59224505,1.575641026,11.39763843,1.0,910.0,3.0,908.0,362.0,548.0,18.0,5.0,4.0,6.0,44.0,196.0,2.0,0.0,2.0,40.0,25.0,1.0,16.0,0.0,3.0,902.0,9.0,5.0,886.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,537.0,374.0,163.0,353.0,21.0,13.0,147.0,208.0,0.0,0.0,0.0,158.0,19.0,1.0,4.0,0.0,0.0,0.0,140341.87,34578.52,389048.93,11.25
5,2,1998,59.07769796,28.74866678,17.89142451,45.49515497,1.575641026,34.86208168,1.0,593.0,4.0,590.0,430.0,164.0,8.0,5.0,4.0,14.0,127.0,210.0,14.0,0.0,1.0,10.0,6.0,0.0,24.0,0.0,7.0,592.0,2.0,9.0,568.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,188.0,252.0,106.0,48.0,14.0,8.0,130.0,0.0,0.0,0.0,242.0,23.0,0.0,32.0,0.0,0.0,0.0,128432.37,12472.16,114777.5,9.2
6,3,1998,51.00164205,24.93288144,9.278317279,59.7825567,1.838529551,8.503524985,0.0,131.0,0.0,131.0,115.0,16.0,0.0,1.0,2.0,0.0,43.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,131.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,65.0,31.0,26.0,9.0,4.0,2.0,28.0,0.0,0.0,0.0,18.0,16.0,0.0,6.0,0.0,0.0,0.0,17522.57,3155.9,36075.86,11.43
7,4,1998,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,1.0,385.0,3.0,381.0,74.0,310.0,1.0,3.0,3.0,4.0,7.0,7.0,3.0,5.0,0.0,5.0,29.0,0.0,3.0,0.0,4.0,382.0,4.0,0.0,380.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.0,310.0,65.0,8.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,37.0,21.0,0.0,8.0,0.0,0.0,0.0,30181.11,8488.18,133368.4,15.71
8,1,1999,86.54487179,28.41279966,14.09807692,52.59224505,1.491025641,8.558397654,0.0,907.0,4.0,903.0,203.0,703.0,9.0,0.0,4.0,0.0,11.0,22.0,9.0,0.0,0.0,1.0,49.0,10.0,45.0,0.0,43.0,900.0,6.0,27.0,810.0,63.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,500.0,406.0,114.0,371.0,15.0,11.0,197.0,170.0,0.0,0.0,0.0,117.0,5.0,0.0,2.0,2.0,0.0,0.0,186469.81000000003,42480.95,524345.98,12.34
9,2,1999,75.27686533,31.17342332,24.61909676,45.49515497,1.491025641,34.86208168,7.0,669.0,0.0,676.0,281.0,395.0,113.0,4.0,0.0,0.0,40.0,48.0,12.0,0.0,0.0,18.0,9.0,2.0,24.0,0.0,11.0,676.0,0.0,0.0,661.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,265.0,230.0,145.0,36.0,15.0,20.0,143.0,0.0,0.0,0.0,202.0,13.0,0.0,45.0,0.0,0.0,0.0,173287.01,16984.77,166898.82,9.83
