,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
0,1,1997,69.26997824,29.65686453,14.33653846,52.59224505,1.698717949,12.35916951,0.0,72.0,0.0,72.0,22.0,48.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0,0.0,71.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,22.0,50.0,16.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,1.0,0,1.0,0,0.0,0.0,10983.27,3240.0,18048.0,5.57
1,2,1997,57.64754224,29.80279608,19.99655074,45.49515497,1.698717949,34.86208168,14.0,1449.0,6.0,1457.0,880.0,582.0,31.0,7.0,10.0,37.0,223.0,343.0,37.0,8.0,60.0,79.0,9.0,0.0,21.0,0,15.0,1430.0,32.0,42.0,1303.0,85.0,20.0,14.0,0.0,4.0,0.0,0,0,1103.0,360.0,648.0,246.0,196.0,18.0,12.0,408.0,0.0,0.0,0.0,570.0,81.0,0,177.0,0,0.0,0.0,305751.82,1060.0,7241.0,6.83
2,3,1997,34.947795899999996,24.86365067,9.024471125,57.55178747,7.858578164,12.40094077,25.0,2474.0,27.0,2472.0,2129.0,370.0,3.0,3.0,4.0,2.0,764.0,1259.0,14.0,12.0,11.0,29.0,6.0,0.0,9.0,0,13.0,2465.0,34.0,7.0,2447.0,11.0,0.0,2.0,0.0,0.0,0.0,0,0,1809.0,690.0,1110.0,401.0,297.0,58.0,128.0,510.0,0.0,0.0,0.0,978.0,255.0,0,156.0,0,0.0,0.0,348274.08,4781.0,42179.0,8.82
3,4,1997,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,0.0,74.0,0.0,74.0,1.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,73.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,52.0,22.0,43.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,29.0,10.0,0,4.0,0,0.0,0.0,6040.310000000001,477.1375,3614.686666666667,7.575775676124108
4,1,1998,78.73717949,27.80512821,18.10798051,52.59224505,1.575641026,11.39763843,1.0,101.0,2.0,100.0,12.0,90.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,1.0,99.0,3.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26.0,76.0,23.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,4.0,0,0.0,0,0.0,0.0,16455.809999999998,3730.46,32017.57,8.58
5,2,1998,59.07769796,28.74866678,17.89142451,45.49515497,1.575641026,34.86208168,0.0,44.0,0.0,44.0,20.0,24.0,1.0,1.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,43.0,1.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,33.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0.0,0,0.0,0.0,9677.42,808.06,7627.49,9.44
6,3,1998,51.00164205,24.93288144,9.278317279,59.7825567,1.838529551,8.503524985,0.0,45.0,0.0,45.0,10.0,35.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,30.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0,0.0,0,0.0,0.0,6357.110000000002,1189.21,8687.13,7.3
7,4,1998,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,0.0,30.0,0.0,29.0,3.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,29.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0,0.0,0.0,3069.780000000001,890.8,3872.2,4.35
8,1,1999,86.54487179,28.41279966,14.09807692,52.59224505,1.491025641,8.558397654,1.0,128.0,6.0,123.0,11.0,118.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,126.0,3.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15.0,114.0,12.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0,0.0,0,0.0,0.0,28145.97,5660.95,57417.05,10.14
9,2,1999,75.27686533,31.17342332,24.61909676,45.49515497,1.491025641,34.86208168,1.0,46.0,0.0,47.0,12.0,35.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,47.0,0.0,0.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0.0,0,0.0,0.0,12164.359999999995,1319.24,7988.91,6.06
10,3,1999,53.94010359,24.80980452,12.81265372,60.32101824,1.769298782,8.411217293,0.0,42.0,0.0,42.0,4.0,38.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,40.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,4.0,0,0.0,0.0,8713.14,1201.85,19380.52625,16.12557827515913
11,4,1999,60.30697397,38.89251201,26.6906282,47.74326823,17.25928086,22.56899437,0.0,19.0,0.0,19.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0,0.0,0.0,3040.19,599.46,4191.06,6.99
12,1,2000,79.61410256,27.47435897,14.375,52.59224505,1.3525641030000002,8.443013039,2.0,92.0,1.0,93.0,21.0,73.0,1.0,0.0,0.0,0.0,11.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0,0.0,89.0,3.0,2.0,87.0,1.0,2.0,1.0,0.0,0.0,0.0,0,0,34.0,60.0,29.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0,0.0,0,0.0,0.0,25036.33,3609.06,43262.65,11.99
13,2,2000,70.72199416,26.7155997,12.88435006,45.49515497,1.3525641030000002,34.86208168,1.0,46.0,0.0,47.0,16.0,31.0,1.0,0.0,0.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,45.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,38.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0,1.0,0,0.0,0.0,16797.8,2452.87,25721.73,10.49
14,3,2000,77.15548821,24.91749683,9.532163433,64.16717209,1.661606474,8.280448062,0.0,70.0,3.0,67.0,23.0,46.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,62.0,8.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,65.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0,0.0,0,0.0,0.0,18485.78,1974.93,27545.03,13.95
15,4,2000,45.67453166,42.45323407,36.45002894,47.74326823,29.04733488,35.66723149,0.0,14.0,0.0,14.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0,0.0,0.0,2076.3499999999995,477.1375,3614.686666666667,7.575775676124108
16,1,2001,71.11410256,29.74665968,14.49038462,52.59224505,1.391025641,8.57378227,0.0,115.0,0.0,114.0,24.0,91.0,10.0,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0.0,113.0,2.0,1.0,112.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,32.0,83.0,24.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,23.0,0.0,0,2.0,0,0.0,0.0,31524.79,3308.8266666666673,40780.669999999984,12.324813025362461
17,2,2001,37.59379966,26.80790739,13.01511929,45.49515497,1.391025641,34.86208168,0.0,47.0,0.0,47.0,14.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,46.0,1.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,21.0,26.0,19.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,12.0,0,0.0,3.0,17165.459999999995,1512.029230769231,14279.135,9.443689784182029
18,3,2001,38.20164205,25.1867276,9.847548048,55.16717209,1.746221859,12.15984717,0.0,41.0,0.0,41.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,38.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10.0,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0,2.0,0,0.0,0.0,11733.77,1522.8444444444442,19380.52625,12.726530487537945
