,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
0,1,1997,69.26997824,29.65686453,14.33653846,52.59224505,1.698717949,12.35916951,0.0,72.0,0.0,72.0,22.0,48.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,71.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,50.0,16.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,10983.27,21084.0,296878.0,14.08
1,2,1997,57.64754224,29.80279608,19.99655074,45.49515497,1.698717949,34.86208168,14.0,1449.0,6.0,1457.0,880.0,582.0,31.0,7.0,10.0,37.0,223.0,343.0,37.0,8.0,60.0,79.0,9.0,0.0,21.0,0.0,15.0,1430.0,32.0,42.0,1303.0,85.0,20.0,14.0,0.0,4.0,0.0,0.0,0.0,1103.0,360.0,648.0,246.0,196.0,18.0,12.0,408.0,0.0,0.0,0.0,570.0,81.0,0.0,177.0,0.0,0.0,0.0,305751.82,18023.0,213105.0,11.82
2,3,1997,34.947795899999996,24.86365067,9.024471125,57.55178747,7.858578164,12.40094077,25.0,2474.0,27.0,2472.0,2129.0,370.0,3.0,3.0,4.0,2.0,764.0,1259.0,14.0,12.0,11.0,29.0,6.0,0.0,9.0,0.0,13.0,2465.0,34.0,7.0,2447.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1809.0,690.0,1110.0,401.0,297.0,58.0,128.0,510.0,0.0,0.0,0.0,978.0,255.0,0.0,156.0,0.0,0.0,0.0,348274.08,3069.0,25440.0,8.29
3,4,1997,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,0.0,74.0,0.0,74.0,1.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,22.0,43.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,29.0,10.0,0.0,4.0,0.0,0.0,0.0,6040.310000000001,3128.0,45220.0,14.45
4,1,1998,78.73717949,27.80512821,18.10798051,52.59224505,1.575641026,11.39763843,2.0,921.0,10.0,913.0,517.0,406.0,17.0,13.0,5.0,23.0,109.0,199.0,3.0,4.0,12.0,88.0,14.0,0.0,12.0,0.0,18.0,914.0,9.0,1.0,912.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,75.0,701.0,57.0,90.0,9.0,18.0,119.0,0.0,0.0,0.0,720.0,3.0,0.0,35.0,3.0,0.0,14.0,141910.33999999994,17063.93,320066.85,18.76
5,2,1998,59.07769796,28.74866678,17.89142451,45.49515497,1.575641026,34.86208168,10.0,957.0,10.0,957.0,744.0,223.0,19.0,8.0,4.0,23.0,188.0,311.0,29.0,14.0,40.0,68.0,15.0,0.0,19.0,0.0,6.0,957.0,10.0,5.0,936.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,893.0,74.0,743.0,31.0,119.0,15.0,5.0,127.0,0.0,0.0,0.0,627.0,53.0,0.0,173.0,0.0,0.0,0.0,213018.82,14939.73,252288.45,16.89
6,3,1998,51.00164205,24.93288144,9.278317279,59.7825567,1.838529551,8.503524985,18.0,371.0,5.0,384.0,357.0,32.0,2.0,2.0,1.0,1.0,144.0,197.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,383.0,6.0,2.0,380.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,95.0,257.0,13.0,24.0,5.0,7.0,24.0,0.0,0.0,0.0,212.0,60.0,0.0,9.0,0.0,0.0,0.0,51273.83,5524.27,89033.16,16.12
7,4,1998,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,2.0,589.0,8.0,550.0,199.0,360.0,7.0,0.0,1.0,10.0,14.0,21.0,5.0,25.0,4.0,42.0,33.0,0.0,22.0,0.0,17.0,556.0,35.0,1.0,555.0,0.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,394.0,164.0,392.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,320.0,10.0,0.0,62.0,0.0,0.0,0.0,46239.28,2933.24,42850.18,14.61
8,1,1999,86.54487179,28.41279966,14.09807692,52.59224505,1.491025641,8.558397654,1.0,817.0,1.0,817.0,434.0,383.0,54.0,1.0,2.0,0.0,68.0,17.0,24.0,10.0,0.0,53.0,65.0,1.0,41.0,0.0,98.0,798.0,18.0,6.0,778.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,711.0,107.0,584.0,58.0,69.0,4.0,19.0,101.0,0.0,0.0,0.0,564.0,7.0,0.0,62.0,0.0,0.0,0.0,162554.55000000002,21975.11,458765.12,20.88
9,2,1999,75.27686533,31.17342332,24.61909676,45.49515497,1.491025641,34.86208168,25.0,944.0,4.0,965.0,647.0,321.0,122.0,8.0,2.0,0.0,157.0,95.0,27.0,11.0,0.0,104.0,29.0,2.0,18.0,0.0,72.0,960.0,8.0,12.0,902.0,46.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,842.0,127.0,715.0,47.0,80.0,9.0,3.0,115.0,0.0,0.0,0.0,499.0,66.0,0.0,197.0,1.0,0.0,0.0,252782.12,17438.57,243984.66,13.99
10,3,1999,53.94010359,24.80980452,12.81265372,60.32101824,1.769298782,8.411217293,20.0,505.0,3.0,522.0,338.0,187.0,12.0,1.0,2.0,0.0,50.0,139.0,26.0,5.0,1.0,32.0,16.0,1.0,22.0,0.0,31.0,497.0,28.0,2.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,198.0,266.0,33.0,27.0,17.0,9.0,33.0,0.0,0.0,0.0,253.0,15.0,0.0,21.0,0.0,0.0,0.0,105679.94,5295.57,79475.04,15.01
11,4,1999,60.30697397,38.89251201,26.6906282,47.74326823,17.25928086,22.56899437,4.0,683.0,2.0,685.0,248.0,437.0,28.0,1.0,2.0,0.0,24.0,6.0,13.0,43.0,3.0,16.0,28.0,2.0,13.0,0.0,69.0,677.0,7.0,2.0,670.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,347.0,335.0,345.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,1.0,1.0,11.0,0.0,0.0,0.0,59427.87000000001,3853.57,64213.59,16.66
12,1,2000,79.61410256,27.47435897,14.375,52.59224505,1.3525641030000002,8.443013039,1.0,696.0,3.0,692.0,403.0,292.0,61.0,6.0,2.0,0.0,138.0,14.0,71.0,4.0,6.0,11.0,41.0,2.0,31.0,0.0,16.0,681.0,4.0,42.0,638.0,1.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,590.0,107.0,448.0,79.0,62.0,4.0,21.0,104.0,0.0,0.0,0.0,403.0,5.0,1.0,89.0,0.0,0.0,0.0,185769.78000000003,25824.88,396002.83,15.33
13,2,2000,70.72199416,26.7155997,12.88435006,45.49515497,1.3525641030000002,34.86208168,10.0,867.0,2.0,874.0,627.0,250.0,129.0,7.0,23.0,2.0,162.0,85.0,73.0,5.0,0.0,46.0,20.0,0.0,42.0,0.0,33.0,872.0,5.0,56.0,816.0,0.0,44.0,8.0,0.0,3.0,0.0,0.0,0.0,793.0,83.0,593.0,69.0,132.0,25.0,5.0,170.0,0.0,0.0,0.0,464.0,20.0,0.0,240.0,3.0,0.0,0.0,302756.61,20280.73,296976.83,14.64
14,3,2000,77.15548821,24.91749683,9.532163433,64.16717209,1.661606474,8.280448062,10.0,187.0,5.0,192.0,101.0,96.0,12.0,1.0,2.0,0.0,14.0,19.0,42.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,196.0,0.0,2.0,194.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,38.0,134.0,20.0,6.0,6.0,5.0,14.0,0.0,0.0,0.0,95.0,25.0,0.0,19.0,0.0,0.0,0.0,51142.77,2356.95,33169.4,14.07
15,4,2000,45.67453166,42.45323407,36.45002894,47.74326823,29.04733488,35.66723149,3.0,388.0,0.0,391.0,221.0,170.0,36.0,4.0,3.0,0.0,11.0,1.0,56.0,14.0,0.0,7.0,44.0,1.0,23.0,0.0,21.0,381.0,10.0,10.0,370.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,249.0,141.0,250.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,217.0,8.0,0.0,15.0,0.0,0.0,0.0,60058.83,4240.03,61415.21,14.48
16,1,2001,71.11410256,29.74665968,14.49038462,52.59224505,1.391025641,8.57378227,2.0,787.0,13.0,774.0,320.0,467.0,6.0,4.0,0.0,0.0,38.0,105.0,0.0,2.0,0.0,115.0,23.0,1.0,16.0,0.0,10.0,785.0,4.0,36.0,749.0,0.0,13.0,21.0,1.0,0.0,0.0,0.0,0.0,685.0,104.0,511.0,68.0,110.0,12.0,25.0,139.0,0.0,0.0,0.0,486.0,12.0,5.0,87.0,0.0,0.0,0.0,208596.19,24883.578461538462,574418.8723076923,23.084255071896038
17,2,2001,37.59379966,26.80790739,13.01511929,45.49515497,1.391025641,34.86208168,12.0,817.0,4.0,822.0,503.0,326.0,75.0,9.0,0.0,0.0,35.0,183.0,0.0,1.0,0.0,114.0,18.0,0.0,13.0,0.0,55.0,818.0,10.0,37.0,781.0,0.0,29.0,4.0,2.0,0.0,0.0,0.0,0.0,745.0,84.0,573.0,39.0,131.0,21.0,2.0,144.0,0.0,0.0,0.0,483.0,48.0,0.0,165.0,1.0,0.0,4.0,299597.69999999995,20346.684615384613,391334.7130769231,19.23334049130666
18,3,2001,38.20164205,25.1867276,9.847548048,55.16717209,1.746221859,12.15984717,10.0,247.0,15.0,242.0,225.0,31.0,1.0,0.0,0.0,0.0,13.0,200.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,248.0,7.0,2.0,245.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,218.0,39.0,208.0,6.0,5.0,4.0,1.0,6.0,0.0,0.0,0.0,169.0,20.0,0.0,24.0,0.0,0.0,0.0,70553.44,3591.6938461538466,64019.21538461539,17.82424063041179
