,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
0,1,1997,69.26997824,29.65686453,14.33653846,52.59224505,1.698717949,12.35916951,0.0,72.0,0.0,72.0,22.0,48.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,71.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,50.0,16.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,10983.27,48510.0,621019.0,12.8
1,2,1997,57.64754224,29.80279608,19.99655074,45.49515497,1.698717949,34.86208168,14.0,1449.0,6.0,1457.0,880.0,582.0,31.0,7.0,10.0,37.0,223.0,343.0,37.0,8.0,60.0,79.0,9.0,0.0,21.0,0.0,15.0,1430.0,32.0,42.0,1303.0,85.0,20.0,14.0,0.0,4.0,0.0,0.0,0.0,1103.0,360.0,648.0,246.0,196.0,18.0,12.0,408.0,0.0,0.0,0.0,570.0,81.0,0.0,177.0,0.0,0.0,0.0,305751.82,32977.0,255827.0,7.76
2,3,1997,34.947795899999996,24.86365067,9.024471125,57.55178747,7.858578164,12.40094077,25.0,2474.0,27.0,2472.0,2129.0,370.0,3.0,3.0,4.0,2.0,764.0,1259.0,14.0,12.0,11.0,29.0,6.0,0.0,9.0,0.0,13.0,2465.0,34.0,7.0,2447.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1809.0,690.0,1110.0,401.0,297.0,58.0,128.0,510.0,0.0,0.0,0.0,978.0,255.0,0.0,156.0,0.0,0.0,0.0,348274.08,1218.0,7668.0,6.3
3,4,1997,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,0.0,74.0,0.0,74.0,1.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,22.0,43.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,29.0,10.0,0.0,4.0,0.0,0.0,0.0,6040.310000000001,25731.0,333488.0,12.96
4,1,1998,78.73717949,27.80512821,18.10798051,52.59224505,1.575641026,11.39763843,1.0,1067.0,10.0,1058.0,504.0,563.0,5.0,4.0,1.0,34.0,116.0,250.0,4.0,3.0,7.0,26.0,33.0,0.0,11.0,1.0,9.0,1062.0,6.0,2.0,1056.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,564.0,423.0,72.0,9.0,7.0,32.0,42.0,0.0,0.0,0.0,402.0,15.0,0.0,13.0,0.0,0.0,0.0,168693.45,58735.34,895585.42,15.25
5,2,1998,59.07769796,28.74866678,17.89142451,45.49515497,1.575641026,34.86208168,1.0,771.0,8.0,764.0,664.0,108.0,3.0,3.0,3.0,27.0,192.0,321.0,3.0,0.0,7.0,35.0,55.0,0.0,14.0,0.0,1.0,760.0,12.0,0.0,744.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,353.0,377.0,25.0,17.0,2.0,3.0,34.0,0.0,0.0,0.0,324.0,26.0,0.0,42.0,0.0,0.0,0.0,184281.83,43061.79,641578.76,14.9
6,3,1998,51.00164205,24.93288144,9.278317279,59.7825567,1.838529551,8.503524985,0.0,113.0,1.0,112.0,105.0,8.0,0.0,0.0,0.0,0.0,44.0,58.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,110.0,3.0,1.0,109.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,57.0,48.0,5.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,47.0,1.0,0.0,3.0,0.0,0.0,0.0,14647.27,627.13,68128.05,14.72
7,4,1998,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,2.0,964.0,7.0,937.0,267.0,678.0,0.0,3.0,3.0,7.0,18.0,17.0,7.0,22.0,1.0,42.0,126.0,0.0,11.0,0.0,9.0,935.0,31.0,5.0,923.0,7.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,212.0,732.0,196.0,15.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,151.0,37.0,0.0,8.0,0.0,0.0,0.0,79715.15999999999,35653.52,545818.81,15.31
8,1,1999,86.54487179,28.41279966,14.09807692,52.59224505,1.491025641,8.558397654,1.0,1278.0,1.0,1278.0,388.0,887.0,28.0,0.0,4.0,0.0,62.0,24.0,45.0,1.0,6.0,4.0,133.0,4.0,42.0,0.0,35.0,1218.0,56.0,26.0,1118.0,74.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,431.0,847.0,350.0,72.0,9.0,4.0,42.0,33.0,0.0,0.0,0.0,339.0,5.0,0.0,8.0,1.0,0.0,0.0,246255.95,66068.22,1050685.54,15.9
9,2,1999,75.27686533,31.17342332,24.61909676,45.49515497,1.491025641,34.86208168,7.0,1591.0,1.0,1597.0,739.0,851.0,55.0,3.0,15.0,0.0,138.0,171.0,23.0,3.0,2.0,78.0,180.0,0.0,42.0,0.0,29.0,1578.0,11.0,14.0,1527.0,37.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,873.0,721.0,733.0,87.0,53.0,8.0,8.0,122.0,0.0,0.0,0.0,549.0,58.0,0.0,155.0,1.0,0.0,0.0,428984.4,56080.95,719838.11,12.84
